brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	65.1%	720 x 1280 px	8 MP, Single	2 MP, Single	Android 4.4.2 (KitKat)	- Mali-400MP2	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM16 GB, 2 GB RAM	- Quad-core 1.3 GHz Cortex-A7	145 Х 73 Х 8.8 mm	150 g	2000 mAh,  Non-removable Li-Ion	150 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, EDR	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.3" inc	51.0 cm2	61.1%	540 x 960 px	8 MP, Single	0.3 MP, Single	Android 4.0 (Ice Cream Sandwich)	- PowerVR SGX540	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM	- 1.2 GHz	127.3 Х 65.5 Х 10 mm	140 g	2000 mAh,  Removable Li-Ion	180 EUR	Mini-SIM	GSM / HSPA	HSPA 21.1/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	2.1, A2DP, EDR	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.7%	540 x 960 px	5 MP, Single	0.3 MP, Single	Android 4.1.1 (Jelly Bean)	- SGX531u	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM	- Dual-core 1.0 GHz Cortex-A9	132 Х 68.5 Х 9.9 mm	130 g	1760 mAh,  Removable Li-Ion	170 EUR	Single SIM (Mini-SIM)Dual SIM (Mini-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot	Yes (single sim model only)	microUSB 2.0	3.0, A2DP, EDR	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	62.7%	540 x 960 px	8 MP, Single	2 MP, Single	Android 4.2.1 (Jelly Bean)	- PowerVR SGX544	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM	- Quad-core 1.2 GHz Cortex-A7	131 Х 68 Х 9.9 mm	140 g	2000 mAh,  Removable Li-Ion	180 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	3.0, A2DP, EDR	FM radio	Yes
Acer	TFT	capacitive touchscreen	16M	5.7" inc	89.6 cm2	66.2%	720 x 1280 px	8 MP, Single	2 MP, Single	Android 4.2 (Jelly Bean); Float UI	- PowerVR SGX544	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.5 GHz Cortex-A7	163 Х 83 Х 9.6 mm	195 g	2400 mAh,  Removable Li-Po	320 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA 42.2/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, LE	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	6" inc	98.7 cm2	69.0%	1080 x 1920 px	13 MP, Single	2 MP, Single	Android 4.2.2 (Jelly Bean)	- Adreno 330	microSD, up to 64 GB (dedicated slot)	16 GB, 2 GB RAM	- Quad-core 2.2 GHz Krait 400	166 Х 86.2 Х 9 mm	229 g	3300 mAh,  Non-removable Li-Po	340 EUR	Nano-SIM	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot	Yes	microUSB 2.0	4.0, A2DP	Stereo FM radio, RDS	Yes
Acer	TFT	capacitive touchscreen	256K	3.5" inc	36.5 cm2	53.1%	320 x 480 px	3 MP, Single	0 MP,	Android 4.1.1 (Jelly Bean)	- Adreno 200	microSD, up to 32 GB (dedicated slot)	4 GB, 512 MB RAM	- 1.0 GHz Cortex-A5	110 Х 62.5 Х 12.3 mm	110 g	1300 mAh,  Removable Li-Ion	100 EUR	Single SIM (Mini-SIM)Dual SIM (Mini-SIM, dual stand-by)	GSM / HSPA	HSPA 7.2/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	3.0, A2DP	FM radio, RDS	Yes
Acer	TFT	capacitive touchscreen	16M	3.5" inc	36.5 cm2	55.8%	320 x 480 px	3.15 MP, Single	0 MP,	Android 4.2 (Jelly Bean)	- Mali-400	microSD, up to 32 GB (dedicated slot)	4 GB, 512 MB RAM	- Dual-core 1.0 GHz Cortex-A7	109 Х 60 Х 10.4 mm	120 g	1500 mAh,  Removable Li-Ion	100 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA 21.1/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 a/b/g/n, hotspot		microUSB 2.0	3.0, A2DP, EDR	Stereo FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.3" inc	51.0 cm2	61.0%	720 x 1280 px	8 MP, Single	0.3 MP, Single	Android 4.0 (Ice Cream Sandwich)	- Adreno 225	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Dual-core 1.5 GHz Krait	127 Х 65.8 Х 9.9 mm	122 g	1460 mAh,  Removable Li-Ion	220 EUR	Micro-SIM	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, DLNA, hotspot	Yes	microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	TFT	capacitive touchscreen	16M	4.3" inc	51.0 cm2	60.0%	540 x 960 px	5 MP, Single	0 MP,	Android 4.0.3 (Ice Cream Sandwich)	- PowerVR SGX531	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM	- 1.0 GHz Cortex-A9	129 Х 65.9 Х 9.9 mm	145 g	1500 mAh,  Removable Li-Ion	140 EUR	Dual SIM (Mini-SIM)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot		microUSB 2.0	3.0, A2DP, EDR	FM radio	Yes
